,additional_information,street,agency_id,ages_served,borough,brief_description,building_floor_suite,city,free,genders_served,hours_friday,hours_monday,hours_saturday,hours_sunday,hours_thursday,hours_tuesday,hours_wednesday,intake,low_cost,medicaid,medicare,other_insurances,phone_number,required_documents,site_id,site_languages,site_name,sliding_fee,state,website,zip_code
203,,1645 Grand Concourse,Bronx - Lebanon Hospital Center,13 and over. Parental consent not required.,Bronx,,,BRONX,False,,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,CLOSED,CLOSED,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,Walk-ins welcome,False,,,,(718) 960-1495,Personal ID is not required but may allow quicker access to services.,25,French,Bronx - Lebanon Project Access,Yes,NY,http://www.bronxcare.org/,10456
204,,625 East 137th Street,Morris Heights Health Center,13 and over. Parental consent not required.,Bronx,,,BRONX,True,,9:30 AM - 5:00 PM,8:30AM - 5:00PM,CLOSED,CLOSED,8:30AM - 6:00PM,8:30AM - 6:00PM,8:30AM - 5:00PM,Walk-ins welcome,False,,,,(718) 401-6578,Personal ID is not required but may allow quicker access to services.,162,Spanish,MHHC at 137th/St. Ann's,,NY,http://www.mhhc.org/locations/mhhc-at-137th-street/,10454
206,,630 WEST 168TH STREET,New York Presbyterian Hospital,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 305-2500,,537,,NYP - Columbia University Medical Center,,NY,http://nyp.org/facilities/columbia.html,10032
207,,2 Astor Place,Hetrick-Martin Institute,,Manhattan,Services only offered to patients who complete intake and qualify for services,3rd Floor,NEW YORK,False,,3:15-5PM,3:15-5PM,11-4PM,,3:15-5PM,3:15-5PM,3:15-5PM,Walk-ins welcome,False,,,,(212) 674-2400,,372,Spanish,Hetrick-Martin Institute,,NY,http://www.hmi.org/,10003
208,,349 Henry Street,SUNY Downstate Medical Center Suny Downstate Medical Center,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 780-1530,,461,,SUNY Downstate Medical Center Long Island College Hospital,,NY,,11201
209,,127 West 127th Street,City Health Works,,Manhattan,,Suite 207,NEW YORK,False,,,,,,,,,,False,,,,,,497,,City Health Works,,NY,,10027
211,,1204 Broadway,After Hours Project,Less than 13 years old must have parental consent,Brooklyn,Community Based Organization offering HIV testing and othr services. Information subject to change. Please call ahead.,,BROOKLYN,True,All,9:00AM - 5:00PM,10:00AM - 6:00PM,CLOSED,CLOSED,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 6:00PM,Walk-ins welcome,False,,,,(718) 249-0755,Photo ID Preferred,320,"English, Spanish",After Hours Project,,NY,http://www.afterhoursproject.org/,11221
212,,1000 Tenth Avenue,Mount Sinai Health System,18 and over,Manhattan,Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.,Suide 2T,New York,True,All,9:00am-4:30pm,9:00am-4:30pm,,,9:00am-4:30pm,9:00am-4:30pm,9:00am-4:30pm,Walk-ins welcome,False,,,,,None,588,"English, Spanish and phone translation services",Mount Sinai - Samuels Clinic,,NY,http://www.mountsinaihealth.org/patient-care/infectious-diseases,10019
213,,"89-31 161st Street, 10th Floor",Brightpoint Health,,Queens,,,,False,,,,,,,,,,False,,,,,,622,,Brightpoint Health - Queens,,NY,https://brightpointhealth.org,11432
214,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,215 West 125th Street,HHC Renaissance Healthcare Network Diagnostic and Treatment Center,,Manhattan,,,NEW YORK,True,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Appointment required,True,Yes,Yes,"Some insurances accepted, copay may be applied",(212) 932-6500,,455,,HHC Renaissance Healthcare Network Diagnostic and Treatment Center,Yes,NY,http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Renaissance.shtml,10027
215,,1635 Bergen Street,Berean Community and Family Life Center,,Brooklyn,,,Brooklyn,False,,,,,,,,,,False,,,,718-778-2438,,709,,Berean Community and Family Life Center,,NY,http://www.bereancommunity.org/,11213
216,,1167 Nostrand Avenue,Community Healthcare Network,13 and over.,Brooklyn,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BROOKLYN,True,All,9:00AM - 5:00PM,9:00AM - 5:00PM,8:30 AM- 3:30 PM,CLOSED,9:00AM - 5:00PM,10:00 PM - 8:00 PM,9:00AM - 5:00PM,Walk-ins welcome,True,,,,(718) 778-0198,"Photo ID, proof of address, proof of income, list of medicines, past health records",62,"English, Spanish, French, Haitian Creole, For more than 150 other languages we use our Language Line, a live telephone translation service.",Community Healthcare Network - Caribbean House Health Center,Yes,NY,http://www.chnnyc.org/our-locations/caribbean-house-health-center,11225
217,,,Bristol-Myers Squibb,,Manhattan,,,New York,False,,,,,,,,,,False,,,,,,801,,Bristol-Myers Squibb,,NY,www.bms.com,
219,,14500 Commerce Ave,In The Life Ministries,,Bronx,,2nd Floor,Bronx,False,,,,,,,,,,False,,,,,,686,,In The Life Ministries,,NY,,10461
220,,41-40 27th St,The Floating Hospital,,Queens,Testing only offered to established patients,,LONG ISLAND CITY,False,,,,,,,,,,False,,,,718 784-2240,,510,,The Floating Hospital Main Health Center,,NY,https://www.thefloatinghospital.org/,11101
221,,1904 Fulton St.,New York City Seventh Day Baptist Church,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,,,710,,New York City Seventh Day Baptist Church,,NY,,11233
222,,1181 E New York Ave,Inner Force Tots,,Brooklyn,,,Brooklyn,False,,,,,,,,,,False,,,,718-221-1246,,664,,Inner Force Tots,,NY,,11212
223,,57 W Burnside Ave,Morris Heights Health Center,,Bronx,,,BRONX,False,,5:00PM - 9:00PM,5:00PM - 9:00PM,12:00PM - 6:00PM,CLOSED,5:00PM - 9:00PM,5:00PM - 9:00PM,5:00PM - 9:00PM,,False,,,,,,526,,MHHC Harrison Circle,,NY,http://www.mhhc.org/locations/harrison-circle/,10453
225,,566 West 181st Street,Washington Heights CORNER Project,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 923-7600,,448,,Washington Heights CORNER Project,,NY,,10033
226,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,451 Clarkson Avenue,HHC Kings County Hospital Center,,Brooklyn,,,BROOKLYN,True,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,True,Yes,Yes,"Some insurances accepted, copay may be applied",718-245-3131,,298,,HHC Kings County Hospital Center,Yes,NY,http://www.nyc.gov/html/hhc/kchc/html/home/home.shtml,11203
227,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,3424 Kossuth Avenue,HHC North Central Bronx Hospital,,Bronx,,,BRONX,True,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,True,Yes,Yes,"Some insurances accepted, copay may be applied",(718) 519-5000,,512,,HHC North Central Bronx Hospital,Yes,NY,http://www.nyc.gov/html/hhc/ncbh/home.html,10467
228,,116-224th Street,Women's Prison Association and Home,,Queens,,,CAMBRIA HEIGHTS,False,,,,,,,,,,False,,,,,,451,,Women's Prison Association and Home,,NY,,11411
229,,1900 2nd Ave,Center for Comprehensive Health Practice,,Manhattan,,9th Floor,New York,False,,,,,,,,,,False,,,,(212) 360-7893,,827,,Center for Comprehensive Health Practice,,NY,http://cchphealthcare.org/,10029
230,,"7 Hanover Square, 18th Floor New York, NY 10004",New York Legal Assistance Group (NYLAG),,Manhattan,,13th Floor,NEW YORK,False,,,,,,,,,,False,,,,212-613-5000,,494,,New York Legal Assistance Group (NYLAG),,NY,,10004
231,,2348 Adam Clayton Powell Jr. Boulevard,Iris House,13 and up,Manhattan,,,NEW YORK,True,,10-5PM,10-5PM,,,10-5PM,10-5PM,10-5PM,Walk-ins welcome,False,,,,646-548-0100,ID will be needed,110,"Spanish, Creole, French and Russian",Iris House Main Administration Office,,NY,http://www.irishouse.org/,10030
232,,213 Johnson Avenue,La Nueva Esparanza,,Brooklyn,Does not provide testing services directly. Provides testing resources and hosts testing services when providers are available.,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 497-7592,,120,,La Nueva Esperanza,,NY,,11206
233,,1990 Westchester Avenue,The Institute for Family Health,13 and over. Parental consent not required.,Bronx,,,BRONX,False,,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,CLOSED,CLOSED,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 239-1610,Personal ID is not required but may allow quicker access to services.,103,,IFH Westchester Avenue Center,Yes,NY,,10462
234,,305 East 161st Street,Montefiore Medical Center,0-21 years. Parental consent not required for ages 13 and over.,Bronx,,,BRONX,False,,8:30 AM - 6:00 PM,8:30 AM - 6:30 PM,9:00 AM - 1:00 PM,CLOSED,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,Walk-ins welcome,False,,,,(718) 579-2500,Personal ID is not required but may allow quicker access to services.,148,,Montefiore Comprehensive Health Care Center - East 161 st.,,NY,,10451
235,,100 Pennsylvania Ave,Partnership for the Homeless,,Brooklyn,,3rd floor,,False,,,,,,,,,,False,,,,,,805,,Partnership for the Homeless The Family Resource Center,,NY,,11207
236,,94-98 Manhattan Avenue,Community Healthcare Network,13 and over.,Brooklyn,,,BROOKLYN,True,,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 4:00PM,CLOSED,9:00AM - 5:00PM,12:30 PM - 6:00 PM,10:00AM - 6:00PM,Appointment preferred,True,,,,(718) 388-0390,"Photo ID, proof of address, proof of income, list of medicines, past health records",61,"English, Spanish, For more than 150 other languages we use our Language Line, a live telephone translation service.",Community Healthcare Network - CABS Health Center,Yes,NY,http://www.chnnyc.org/our-locations/cabs-health-center,11206
237,,25 Victory Boulevard,Community Health Action of Staten Island (CHASI),13+,Staten Island,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,3rd Floor,STATEN ISLAND,True,All,1:00 PM- 8:00 PM,1:00 PM- 8:00 PM,CLOSED,CLOSED,1:00 PM- 8:00 PM,1:00 PM- 8:00 PM,1:00 PM- 8:00 PM,Walk-ins welcome,False,,,,718-808-1360,None,535,,Staten Island LGBT Center,,NY,http://chasiny.org,10301
238,,21 Old Broadway,NYC DOHMH STD Control,13 and over.,Manhattan,C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.,2nd Floor,NEW YORK,True,,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,CLOSED,CLOSED,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,Walk-ins welcome,True,,,,,,135,English,Manhattanville Renaissance STD Clinic,,NY,,10027
239,,"269-01 76th Avenue, New Hyde Park",North Shore LIJ,,Queens,,,,False,,,,,,,,,,True,,,,718-470-3000,,586,,Steven & Alexandra Cohen Children's Medical Center of NY,,NY,http://ccmc.northshorelij.com/,11040
240,,130 West Kingsbridge Road,James J. Peters VA Medical Center,18 and over.,Bronx,,,BRONX,False,,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,CLOSED,CLOSED,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,Walk-ins welcome,False,,,,(718) 584-9000,Personal ID is not required but may allow quicker access to services.,115,,James J. Peters VA Medical Center,Yes,NY,,10468
241,,1650 Selwyn Avenue,Bronx - Lebanon Hospital Center,18 and over.,Bronx,,,BRONX,False,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,False,,,,(718) 960-1069,,28,,Bronx - Lebanon Hospital Care Coordination,,NY,http://www.bronxcare.org/,10457
242,,441 Convent Avenue,African Hope Committee,,Manhattan,,,NEW YORK,False,,9:30AM - 5:30PM,9:30AM - 5:30PM,CLOSED,CLOSED,9:30AM - 5:30PM,9:30AM - 5:30PM,9:30AM - 5:30PM,,False,,,,(212) 862-9010,,546,,African Hope Committee,,NY,http://www.afriquehope.org/,10031
243,,1238 Broadway,Bedford Stuyvesant Family Health Center,12 and over.,Brooklyn,Community Health Center offering HIV testing and other medical services. Information subject to change. Saturday hours may be available. Please call ahead.,,BROOKLYN,True,All,9:00 AM- 3:00 PM,9:00 AM- 7:00 PM,,,9:00 AM- 3:00 PM,9:00 AM- 7:00 PM,9:00 AM- 5:00 PM,Walk-ins welcome,True,Yes,Yes,"Most insurances accepted, copay may be applied",718-443-2428,Photo ID preferred-- not necessary.,663,"English, Spanish, French, Creole, American Sign Language",Broadway Family Health Center (Bed Stuy Family Health Center),Yes,NY,http://www.bsfhc.org/,11221
244,,1650 Selwyn Avenue,Bronx - Lebanon Hospital Center,13 and over. Parental consent not required.,Bronx,Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.,9th Floor,BRONX,True,All,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,CLOSED,CLOSED,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,Walk-ins welcome,False,Yes,Yes,"Most insurances accepted, copay may be applied",(718) 590-1800 x2010,Official Government ID is not required but may allow quicker access to services. Some form of ID is needed.,22,"English, Spanish and French",Bronx - Lebanon Center for Comprehensive Care,Yes,NY,http://www.bronxcare.org/,10457
245,,102-01 66th Road,North Shore LIJ,,Queens,,,FOREST HILLS,False,,,,,,,,,,False,,,,(718) 830-4000,,401,,North Shore LIJ Forest Hills,,NY,,11375
246,,726 Broadway,New York University,,Manhattan,,Suite 525,NEW YORK,False,,,,,,,,,,False,,,,212.998.5600,,606,,"Center for Health, Identity, Behavior and Prevention Studies",,NY,http://steinhardt.nyu.edu/appsych/chibps,10003
247,,145-147 Utica Avenue,Bridging Access to Care,13+ (no parental consent required),Brooklyn,,,BROOKLYN,True,All,9am-5pm,9am-5pm,,,9am-8pm,9am-8pm,9am-5pm,Walk-ins welcome,False,,,,347-505-5000,None,563,"English, Spanish",Bridging Access to Care - Utica Avenue/Crown Heights,,NY,http://www.bac-ny.org/ny/index.php/about-us/office-locations/utica-avenue-crown-heights,11213
248,,975 Kelly Street,Hispanic AIDS Forum,13 and over. Parental consent not required.,Bronx,"Improve access to care, services and other available resources for Latinos affected by chronic illnesses.",4th Floor,BRONX,True,All,10AM-4PM,12PM  - 7PM,CLOSED,CLOSED,12PM  - 7PM,12PM  - 7PM,112PM  - 7PM,Appointment preferred,False,,,,,Personal ID is not required but may allow quicker access to services.,96,Spanish,Hispanic AIDS Forum - Bronx,,NY,,10459
250,,450 Clarkson Avenue,SUNY Downstate Medical Center Suny Downstate Medical Center,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,718-270-1000,,544,,SUNY Downstate Medical Center,,NY,,11203
251,,172-17 Linden Boulevard,Clergy United for Community Empowerment,13+ (parental consent required if under 13),Queens,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,2nd Floor,QUEENS,True,Yes,10am-4pm,10am-4pm,,,10am-4pm,10am-4pm,10am-4pm,Walk-ins welcome,False,,,,(718) 297-0720,None,52,"English, French",Clergy United for Community Empowerment,,NY,www.cucegroup.org,11434
252,,2238 5th Avenue,NYC DOHMH STD Control,13 and over.,Manhattan,C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.,1st Floor,NEW YORK,True,,8:30 AM - 3:30 PM,CLOSED,8:30 AM - 3:30 PM,CLOSED,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,Walk-ins welcome,True,,,,,,47,Spanish,Central Harlem STD Clinic,,NY,,10037
253,,1910 Arthur Avenue,VIP Community Services,18 and over.,Bronx,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BRONX,True,All,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,CLOSED,CLOSED,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Walk-ins welcome,False,Yes,Yes,"Most insurances accepted, copay may be applied",718-583-5150,Personal ID is not required but may allow quicker access to services.,232,English and Spanish. Translators for other languages upon request.,VIP Community Services,,NY,,10457
254,,1265 Franklin Avenue,Dr. Martin Luther King Health Center,13 and over. Parental consent not required.,Bronx,,3rd Floor,BRONX,False,,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,CLOSED,CLOSED,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,Walk-ins welcome,False,,,,(718) 503-7700,Personal ID is not required but may allow quicker access to services.,77,"French, Hindi, Spanish",Dr. Martin Luther King Health Center,Yes,NY,,10456
255,,525 East 68th Street,New York Presbyterian Hospital,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 746-5454,,536,,NYP - Center for Special Studies,,NY,,10065
256,,2042 Grand Ave.,Morris Heights Health Center,,Bronx,,,BRONX,False,,8:30AM - 5:00PM,8:30AM - 5:00PM,9:00AM - 3:00PM,CLOSED,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,,False,,,,(718) 483-1240,,527,,MHHC Health Connections at Grand Ave.,,NY,http://www.mhhc.org/locations/health-connections/,10453
257,,399 Atlantic Ave,Helpers Ministries International Church,,Brooklyn,,,Brooklyn,False,,,,,,,,,,False,,,,(718) 858-9733,,719,,Helpers Ministries International Church,,NY,,11217
259,,91-20 Atlantic Avenue,MediSys Ozone Park and Senior Health Center Clinic,,Queens,,,OZONE PARK,True,,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 5:00 PM,CLOSED,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,8:30 AM - 7:00 PM,,False,,,,(718) 641-8207,,137,,MediSys Ozone Park and Senior Health Center Clinic,,NY,,11416
260,,833 Gardner C. Taylor Boulevard,Concord Baptist Church of Christ,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,,,748,,Concord Baptist Church of Christ,,NY,,11216
262,,33-16 108th Street,Elmcor Youth & Adult Activities,,Queens,,,QUEENS,False,,,,,,,,,,False,,,,718-651-0096,,610,,Elmcor Youth & Adult Activities,,NY,http://www.elmcor.org/,11368
263,,515 Greenwich Street,Aid for AIDS,18 and over.,Manhattan,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,Suite 506,NEW YORK,True,All,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(212) 337-8043,Photo ID Necessary,321,"English, Spanish",Aid for AIDS,,NY,http://aidforaids.org/new-york/,10013
264,,1380 Linden Boulevard,Brookdale University Hospital and Medical Center,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 240-5071,,32,,Brookdale Family Care Center - Bristol,,NY,http://www.brookdalehospital.org/facilities/family-care-centers/bfcc-bristol.html,11212
265,,317 E. 17th Street,Mount Sinai Health System,18 and over.,Manhattan,Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.,1st Floor Fierman Hall,NEW YORK,True,All,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Appointment preferred,False,,,,(212) 420-2620,None,516,"English and Spanish, plus Telephone translation for other languages",Mount Sinai - Beth Israel: Peter Krueger Clinic,,NY,,10003
266,,121A West 20th Street,VillageCare,18 and over.,Manhattan,,,NEW YORK,False,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Appointment required,False,,,,(212) 337-9271,,231,,Village Care Coordination,,NY,http://www.villagecare.org,10011
267,,208 W 13 St,The Center,,Manhattan,,,Manhattan,False,,,,,,,,,,False,,,,212.620.7310,,790,,"The Lesbian, Gay, Bisexual and Transgender Community Center",,NY,https://gaycenter.org/,10011
269,,439 Port Richmond Avenue,Community Health Center of Richmond,13+. No parental consent required.,Staten Island,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,STATEN ISLAND,True,All,8am-5pm,8am-5pm,,,8am-5pm,8am-5pm,8am-5pm,Appointment preferred,False,,,,(718) 876-1732,Photo ID required.,751,"English, Spanish, French Creole, Hindi",439 Port Richmond Avenue,,NY,chcrichmond.org,10302
270,,5616 6th Avenue,NYU Lutheran Medical Center,13 and over. Parental consent not required.,Brooklyn,,,BROOKLYN,True,,9:00 AM - 11:30 AM,CLOSED,CLOSED,CLOSED,8:30 AM -5:30 PM,CLOSED,8:30 AM -5:30 PM,Walk-ins welcome,False,,,,(718) 439-5440,Personal ID is required.,127,,Lutheran Medical Center - Family Physician Family Health Center,,NY,,11220
271,,540 Atlantic Avenue,Gay Men of African Descent,16 and over. No parental consent required.,Brooklyn,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,Lower Level,BROOKLYN,True,All,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,CLOSED,CLOSED,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,Walk-ins welcome,False,,,,(718) 222-6300,,86,English,Gay Men of African Descent,,NY,gmad.org,11217
272,,25 East 183rd Street,Morris Heights Health Center,13 and over. Parental consent not required.,Bronx,,,BRONX,True,,8:30 - AM - 5:00 PM,8:30 AM - 6:30 PM,CLOSED,CLOSED,8:30 - AM - 5:00 PM,8:30 - AM - 5:00 PM,8:30 - AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 839-8900,Personal ID is not required but may allow quicker access to services.,164,"French, Spanish",MHHC Walton,,NY,http://www.mhhc.org/locations/mhhc-at-walton-avenue/,10453
273,,235 Port Richmond Avenue,Community Health Center of Richmond,13+. No parental consent required.,Staten Island,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,STATEN ISLAND,True,Yes,8:30am-4:30pm,8:30am-8:30pm,8:30am-12:30pm,,8:30am-10pm,8:30am-10pm,8:30am-8:30pm,Appointment preferred,False,,,,(718) 876-1732,Photo ID required.,345,"English, Spanish, French Creole, Hindi",Community Health Center of Richmond,,NY,chcrichmond.org,10302
274,,150 55th Street,NYU Lutheran Medical Center,13 and over. Parental consent not required.,Brooklyn,,,BROOKLYN,True,,8:30 AM - 5:00 PM,8:30 AM - 8:30 PM,9:00 AM - 5:00 PM,CLOSED,8:30 AM - 8:30 PM,8:30 AM - 8:30 PM,8:30 AM - 8:30 PM,Walk-ins welcome,False,,,,(718) 630-7095,Personal ID is not required but may allow quicker access to services.,131,,Lutheran Medical Center,,NY,,11220
275,,144 West 131st Street,Friendship Baptist Church,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 281-0600,,363,,Friendship Baptist Church,,NY,,10027
276,,56-45 Main Street,New York Presbyterian Hospital,,Queens,,,FLUSHING,False,,,,,,,,,,False,,,,718-670-2000,,575,,NYP - New York Hospital Queens,,NY,www.nyhq.org,11355
277,,260 East 188th Street,Union Community Health Center,13 and over. Parental consent not required.,Bronx,,3rd Floor,BRONX,False,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 220-2020,Personal ID is not required but may allow quicker access to services.,225,,Union Community Health Center at 188th Street,Yes,NY,,10458
278,,106-38 150th Street,Restfull Nights Corporation,,Queens,,,Queens,False,,,,,,,,,,False,,,,718-291-4600,,788,,Restfull Nights Corporation,,NY,,11435
279,,150D Richmond Terrace,Project Hospitality,18 and over.,Staten Island,"Can call any weekday 9-5 to schedule testing, but testing only occurs on Tuesday and Thursday; Quick linkage to medical services",,STATEN ISLAND,True,,9:00am- 5:00pm,9:00am- 5:00pm,,,9:00am- 5:00pm,9:00am- 5:00pm,9:00am- 5:00pm,Walk-ins welcome,False,,,,(718) 815-0800,,2,"English, Spanish",Project Hospitality- SHINE Center,,NY,www.projecthospitality.org,10301
281,,2900 Bedford Avenue,The City University of New York,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 951-5000,,578,,Brooklyn College,,NY,http://www.brooklyn.cuny.edu/web/home.php,11210
282,,528 Prospect Place,Interfaith Medical Center,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 613-6800,,108,,Interfaith Medical Center - Bishop Orris G. Walker,,NY,,11238
283,,514 49th Street,NYU Lutheran Medical Center,13 and up,Brooklyn,Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BROOKLYN,True,All,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,CLOSED,CLOSED,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PMM,Appointment preferred,True,Yes,Yes,"Most insurances accepted, copay may be applied",(718) 431-2612,,124,"Arabic, Chinese, English, Russian, Spanish",Lutheran Family Health Centers Sunset Terrace Care Coordination,Yes,NY,http://www.lutheranmedicalcenter.com,11220
284,,360 East 193rd Street,Montefiore Medical Center,18 and over.,Bronx,,,BRONX,True,,8:00 AM - 4:00 PM,8:30 AM - 7:00 PM,CLOSED,CLOSED,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:30 AM - 7:00 PM,Walk-ins welcome,False,,,,(718) 933-2400,Personal ID is not required but may allow quicker access to services.,151,Spanish,Montefiore Family Health Center - East 193rd,,NY,,10458
285,,180 Fort Washington Avenue,New York Presbyterian Hospital,"Not for testing, consent required for care",Manhattan,,6th floor,NEW YORK,True,,8:30 AM - 4:00PM,8:30 AM - 4:00PM,CLOSED,CLOSED,8:30 AM - 4:00PM,8:30 AM - 4:00PM,8:30 AM - 4:00PM,Walk-ins welcome,False,Yes,,"Some insurances accepted, copay may be applied",(212) 342-1687,,177,English/Spanish onsite,NYP/Columbia University Medical Center - Harkness Pavillion,Yes,NY,,10032
286,,37-19 33rd St.,Narco Freedom,,Queens,,,LONG ISLAND CITY,False,,,,,,,,,,False,,,,,,556,,Narco Freedom - 33rd St.,,NY,,11101
287,,80 4th Ave,Vocal-NY,,Brooklyn,,,Brooklyn,False,,,,,,,,,,False,,,,(718) 802-9540,,501,,Vocal-NY,,NY,,11217
288,,6317 4th Avenue,NYU Lutheran Medical Center,All ages. Parental consent not required.,Brooklyn,,,BROOKLYN,False,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,10:00 AM - 8:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 907-8100,Personal ID is not required but may allow quicker access to services.,722,,Lutheran Medical Center - Park Ridge Family Health Center,Yes,NY,,11220
289,,41-43 Crescent Street,The Floating Hospital,,Queens,Testing only offered to established patients,,NEW YORK,False,,,,,,,,,,False,,,,(718) 784-2240 ext 107,,463,,The Floating Hospital Crescent Street Health,,NY,http://www.thefloatinghospital.org/,11101
290,,1065 Southern Boulevard,Urban Health Plan,13 and over. Parental consent not required.,Bronx,,,BRONX,False,,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 5:00 PM,11:00 AM - 3:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,Walk-ins welcome,False,,,,(718) 589-2440,"Photo ID and insurance card are required. If uninsured, sliding fee scale is available.",229,,Urban Health Plan El Nuevo San Juan Health Center - MAIN,Yes,NY,,10459
