"additional_information","address","agency_id","ages_served","borough","brief_description","building_floor_suite","city","free","genders_served","hours_friday","hours_monday","hours_saturday","hours_sunday","hours_thursday","hours_tuesday","hours_wednesday","intake","low_cost","medicaid","medicare","other_insurances","phone_number","required_documents","site_id","site_languages","site_name","sliding_fee","state","website","zip_code"
,"125 Broad Street","Institute for Community Living",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 385-3030",,"377",,"Institute for Community Living",,"NY",,"10004"
,"567 West 183rd Street","FACES NY",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 283-9180",,"354",,"FACES NY",,"NY",,"10033"
,"4487 3rd Avenue","SBH Health System","13 and over. Parental consent not required.","BRONX","Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"BRONX","TRUE",,"9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","CLOSED","CLOSED","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Walk-ins welcome","FALSE","Yes","Yes",,"718-960-9400","Personal ID is not required but may allow quicker access to services.","204",,"St. Barnabas Hospital","Yes","NY","www.sbhny.org","10457"
,"600 West 168th Street","HHC Washington Heights",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 795 - 0880",,"309",,"HHC Washington Heights",,"NY",,"10032"
,,"Community Research Initiative on AIDS",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"346",,"Community Research Initiative on AIDS",,,,
,"20 New York Ave.","Watchful Eye",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(347) 533-4300",,"449",,"Watchful Eye",,"NY",,"11216"
"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.","545 East 142nd Street","HHC Segundo Ruiz Belvis Diagnostic and Treatment Center",,"BRONX",,,"BRONX","TRUE",,"8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","CLOSED","CLOSED","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","Appointment required","TRUE","Yes","Yes","Some insurances accepted, copay may be applied","(718) 579-4000",,"305",,"HHC Segundo Ruiz Belvis Diagnostic and Treatment Center","Yes","NY","http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Belvis.shtml","10454"
,"182 4th Avenue","Diaspora Community Services",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(718) 399-0200",,"351",,"Diaspora Community Services",,"NY",,"11217"
,"353 West Street 353 West Street New York, NY 10014","Hudson River Park Trust",,"MANHATTAN",,"Pier 40, 2nd Floor","Manhattan","FALSE",,,,,,,,,,"FALSE",,,,"212.627.2020",,"806",,"Hudson River Park Trust",,"NY","hudsonriverpark.org","10014"
,"1171 Washington Ave.","Bronx Parent Housing Network",,"BRONX",,,"BRONX","FALSE",,,,,,,,,,"FALSE",,,,,,"661",,"Bronx Parent Housing Network",,"NY","http://www.bphn.info/home.html",
,,"Mentoring in Medicine",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"387",,"Mentoring in Medicine",,,,
,"915 Gates Ave","Jesus Christ Family Church Brooklyn",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(718) 452-5441",,"378",,"Jesus Christ Family Church Brooklyn",,"NY",,"11221"
,,"The Legal Aid Society",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"438",,"The Legal Aid Society",,,,
,"5141 BROADWAY","New York Presbyterian Hospital",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 932-4000",,"540",,"NYP - The Allen Hospital",,"NY","http://nyp.org/facilities/allen-hospital.html","10034"
,,"Hopes Alive",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"347-351-8919",,"583",,"Hopes Alive",,"NY",,
,"180 Fort Washington Ave","Columbia University",,"MANHATTAN",,"HP 9-924","New York","FALSE",,,,,,,,,,"FALSE",,,,,,"807",,"Columbia University College of Physicians and Surgeons",,"NY","nycvaccine.org","10032"
,"34-33 Junction Boulevard","NYC DOHMH STD Control","13 and over.","MANHATTAN","C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"JACKSON HEIGHTS","TRUE",,"8:30 AM - 3:30 PM","CLOSED","CLOSED","CLOSED","CLOSED","CLOSED","8:30 AM - 3:30 PM","Walk-ins welcome","TRUE",,,,"N/A",,"73","English","Corona STD Clinic",,"NY",,"11372"
"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs. Call for more information.","79-01 Broadway","HHC Elmhurst Hospital Center",,"QUEENS",,"1st Floor J Wing","ELMHURST","TRUE",,"24 Hours","24 Hours","24 Hours","24 Hours","24 Hours","24 Hours","24 Hours",,"TRUE","Yes","Yes","Some insurances accepted, copay may be applied","(718)334-3969; (718) 334-4000",,"294",,"HHC Elmhurst Hospital Center","Yes","NY","http://www.nyc.gov/html/hhc/ehc/html/home/home.shtml","11373"
,"First Avenue at 16th Street","Mount Sinai Health System",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 420-2000",,"548",,"Mount Sinai - Beth Israel",,"NY",,"10003"
,"731 White Plains Road","Soundview","13 and over. Parental consent not required.","BRONX",,,"BRONX","TRUE",,"8:30 AM - 5:30 PM","8:30 AM - 5:30 PM","8:30 AM - 1:00 PM","CLOSED","8:30 AM - 8:30 PM","8:30 AM - 8:30 PM","8:30 AM - 8:30 PM","Walk-ins welcome","FALSE",,,,"(718) 589-2232","Personal ID is not required but may allow quicker access to services.","653","Spanish","Soundview Health Center",,"NY",,"10473"
,"540 East Fordham Road","BOOM! Health",,"BRONX",,,"BRONX","FALSE",,"9:00AM - 5:00PM","9:00AM - 5:00PM","CLOSED","CLOSED","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM",,"FALSE",,,,"(718)295-BOOM",,"439",,"BOOM! Health Central Office",,"NY","http://www.boomhealth.org/","10458"
,"268 Canal Street","Charles B Wang Community Health Center - Teens",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 379-6996",,"669",,"Charles B Wang Community Health Center - Canal",,"NY",,"10013"
,"237 East 104th Street","Union Settlement Association",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 828.6000",,"612",,"Union Settlement Association",,"NY","http://unionsettlement.org/","10029"
,"160 West 100th Street","NYC DOHMH STD Control",,"MANHATTAN","C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"NEW YORK","TRUE",,"8:30 AM - 3:00 PM","CLOSED","8:30 AM - 3:00 PM",,"8:30 AM - 3:00 PM, 5:00 PM - 7:00 PM","8:30 AM - 3:00 PM, 5:00 PM - 7:00 PM","8:30 AM - 3:00 PM","Walk-ins welcome","TRUE",,,,"N/A",,"652",,"Riverside STD Clinic",,"NY",,"10025"
,"42-09 28th St.","NYC DOHMH",,"QUEENS",,,"LONG ISLAND CITY","FALSE",,,,,,,,,,"FALSE",,,,"(212) 639-9675",,"480",,"NYC DOHMH Correctional Health Services",,"NY",,"11101"
,"444 St Marks Place","Staten Island Mental Health Society",,"STATEN ISLAND",,,"STATEN ISLAND","FALSE",,,,,,,,,,"FALSE",,,,"(718) 442-2225",,"430",,"Staten Island Mental Health Society",,"NY","https://simhs.org/","10301"
,,"Human Intonation",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"458",,"Human Intonation",,,,
,"South 5th Street and Marcy Avenue","Harlem United","14 and over. Parental consent not required.","BROOKLYN",,,"BROOKLYN","TRUE",,"CLOSED","CLOSED","12:00 PM - 4:30 PM","CLOSED","1:00 PM - 3:30 PM","CLOSED","CLOSED",,"FALSE",,,,"(212) 924-3733","Personal ID is not required but may allow quicker access to services.","85",,"FROST'D - Mobile Van - Williamsburg",,"NY",,"11211"
,"199 14th Street","NYU Lutheran Medical Center",,"BROOKLYN",,"3rd Floor","Brooklyn","FALSE",,,,,,,,,,"FALSE",,,,"(718) 768-0753",,"773",,"Lutheran Medical Center - Project Reach Youth of Lutheran Family Health Centers",,"NY","www.prysafe.com","11215"
,"410 Lakeville Road","North Shore LIJ",,"QUEENS",,"Suite 108",,"FALSE",,,,,,,,,,"FALSE",,,,"516-465-3270",,"1",,"Adolescent and GYN Sexual Health Services - Long Island Jewish Medical Center",,"NY",,"11042"
,"1645 Grand Concourse","Bronx - Lebanon Hospital Center","13 and over. Parental consent not required.","BRONX",,,"BRONX","FALSE",,"9:00 AM - 4:30 PM","9:00 AM - 4:30 PM","CLOSED","CLOSED","9:00 AM - 4:30 PM","9:00 AM - 4:30 PM","9:00 AM - 4:30 PM","Walk-ins welcome","FALSE",,,,"(718) 960-1495","Personal ID is not required but may allow quicker access to services.","25","French","Bronx - Lebanon Project Access","Yes","NY","http://www.bronxcare.org/","10456"
,"625 East 137th Street","Morris Heights Health Center","13 and over. Parental consent not required.","BRONX",,,"BRONX","TRUE",,"9:30 AM - 5:00 PM","8:30AM - 5:00PM","CLOSED","CLOSED","8:30AM - 6:00PM","8:30AM - 6:00PM","8:30AM - 5:00PM","Walk-ins welcome","FALSE",,,,"(718) 401-6578","Personal ID is not required but may allow quicker access to services.","162","Spanish","MHHC at 137th/St. Ann's",,"NY","http://www.mhhc.org/locations/mhhc-at-137th-street/","10454"
,,"United Community Baptist Church",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"747",,"United Community Baptist Church",,,,
,"630 WEST 168TH STREET","New York Presbyterian Hospital",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 305-2500",,"537",,"NYP - Columbia University Medical Center",,"NY","http://nyp.org/facilities/columbia.html","10032"
,"2 Astor Place","Hetrick-Martin Institute",,"MANHATTAN","Services only offered to patients who complete intake and qualify for services","3rd Floor","NEW YORK","FALSE",,"3:15-5PM","3:15-5PM","11-4PM","N/A","3:15-5PM","3:15-5PM","3:15-5PM","Walk-ins welcome","FALSE",,,,"(212) 674-2400",,"372","Spanish","Hetrick-Martin Institute",,"NY","http://www.hmi.org/","10003"
,"349 Henry Street","SUNY Downstate Medical Center Suny Downstate Medical Center",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(718) 780-1530",,"461",,"SUNY Downstate Medical Center Long Island College Hospital",,"NY",,"11201"
,"127 West 127th Street","City Health Works",,"MANHATTAN",,"Suite 207","NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,,,"497",,"City Health Works",,"NY",,"10027"
,,"Exponents",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"667",,"Mobile Van",,,"www.exponents.org",
,"1204 Broadway","After Hours Project","Less than 13 years old must have parental consent","BROOKLYN","Community Based Organization offering HIV testing and othr services. Information subject to change. Please call ahead.",,"BROOKLYN","TRUE","All","9:00AM - 5:00PM","10:00AM - 6:00PM","CLOSED","CLOSED","10:00AM - 6:00PM","10:00AM - 6:00PM","10:00AM - 6:00PM","Walk-ins welcome","FALSE",,,,"(718) 249-0755","Photo ID Preferred","320","English, Spanish","After Hours Project",,"NY","http://www.afterhoursproject.org/","11221"
,"1000 Tenth Avenue","Mount Sinai Health System","18 and over","Manhattan","Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.","Suide 2T","New York","TRUE","All","9:00am-4:30pm","9:00am-4:30pm",,,"9:00am-4:30pm","9:00am-4:30pm","9:00am-4:30pm","Walk-ins welcome","FALSE",,,,,"None","588","English, Spanish and phone translation services","Mount Sinai - Samuels Clinic",,"NY","http://www.mountsinaihealth.org/patient-care/infectious-diseases","10019"
,"89-31 161st Street, 10th Floor","Brightpoint Health",,"Queens",,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"622",,"Brightpoint Health - Queens",,"NY","https://brightpointhealth.org","11432"
"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.","215 West 125th Street","HHC Renaissance Healthcare Network Diagnostic and Treatment Center",,"MANHATTAN",,,"NEW YORK","TRUE",,"9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","CLOSED","CLOSED","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","Appointment required","TRUE","Yes","Yes","Some insurances accepted, copay may be applied","(212) 932-6500",,"455",,"HHC Renaissance Healthcare Network Diagnostic and Treatment Center","Yes","NY","http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Renaissance.shtml","10027"
,"1635 Bergen Street","Berean Community and Family Life Center",,"BROOKLYN",,,"Brooklyn","FALSE",,,,,,,,,,"FALSE",,,,"718-778-2438",,"709",,"Berean Community and Family Life Center",,"NY","http://www.bereancommunity.org/","11213"
,"1167 Nostrand Avenue","Community Healthcare Network","13 and over.","BROOKLYN","Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"BROOKLYN","TRUE","All","9:00AM - 5:00PM","9:00AM - 5:00PM","8:30 AM- 3:30 PM","CLOSED","9:00AM - 5:00PM","10:00 PM - 8:00 PM","9:00AM - 5:00PM","Walk-ins welcome","TRUE",,,,"(718) 778-0198","Photo ID, proof of address, proof of income, list of medicines, past health records","62","English, Spanish, French, Haitian Creole, For more than 150 other languages we use our Language Line, a live telephone translation service.","Community Healthcare Network - Caribbean House Health Center","Yes","NY","http://www.chnnyc.org/our-locations/caribbean-house-health-center","11225"
,,"Bristol-Myers Squibb",,"MANHATTAN",,,"New York","FALSE",,,,,,,,,,"FALSE",,,,,,"801",,"Bristol-Myers Squibb",,"NY","www.bms.com",
,"150 Broadway","Health Research",,,,"#560","MENADS","FALSE",,,,,,,,,,"FALSE",,,,"(518) 431-1200",,"368",,"Health Research",,"NY",,"12204"
,"14500 Commerce Ave","In The Life Ministries",,"BRONX",,"2nd Floor","Bronx","FALSE",,,,,,,,,,"FALSE",,,,,,"686",,"In The Life Ministries",,"NY",,"10461"
,"41-40 27th St","The Floating Hospital",,"QUEENS","Testing only offered to established patients",,"LONG ISLAND CITY","FALSE",,,,,,,,,,"FALSE",,,,"718 784-2240",,"510",,"The Floating Hospital Main Health Center",,"NY","https://www.thefloatinghospital.org/","11101"
,"1904 Fulton St.","New York City Seventh Day Baptist Church",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,,,"710",,"New York City Seventh Day Baptist Church",,"NY",,"11233"
,"1181 E New York Ave","Inner Force Tots",,"BROOKLYN",,,"Brooklyn","FALSE",,,,,,,,,,"FALSE",,,,"718-221-1246",,"664",,"Inner Force Tots",,"NY",,"11212"
,"57 W Burnside Ave","Morris Heights Health Center",,"BRONX",,,"BRONX","FALSE",,"5:00PM - 9:00PM","5:00PM - 9:00PM","12:00PM - 6:00PM","CLOSED","5:00PM - 9:00PM","5:00PM - 9:00PM","5:00PM - 9:00PM",,"FALSE",,,,,,"526",,"MHHC Harrison Circle",,"NY","http://www.mhhc.org/locations/harrison-circle/","10453"
,,"Project Achieve, New York Blood Center",,,,,,"FALSE",,,,,,,,,,"FALSE",,,,,,"413",,"Project Achieve, New York Blood Center",,,,
,"566 West 181st Street","Washington Heights CORNER Project",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 923-7600",,"448",,"Washington Heights CORNER Project",,"NY",,"10033"
"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.","451 Clarkson Avenue","HHC Kings County Hospital Center",,"BROOKLYN",,,"BROOKLYN","TRUE",,"24 Hours","24 Hours","24 Hours","24 Hours","24 Hours","24 Hours","24 Hours",,"TRUE","Yes","Yes","Some insurances accepted, copay may be applied","718-245-3131",,"298",,"HHC Kings County Hospital Center","Yes","NY","http://www.nyc.gov/html/hhc/kchc/html/home/home.shtml","11203"
"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.","3424 Kossuth Avenue","HHC North Central Bronx Hospital",,"BRONX",,,"BRONX","TRUE",,"24 Hours","24 Hours","24 Hours","24 Hours","24 Hours","24 Hours","24 Hours",,"TRUE","Yes","Yes","Some insurances accepted, copay may be applied","(718) 519-5000",,"512",,"HHC North Central Bronx Hospital","Yes","NY","http://www.nyc.gov/html/hhc/ncbh/home.html","10467"
,"116-224th Street","Women's Prison Association and Home",,"QUEENS",,,"CAMBRIA HEIGHTS","FALSE",,,,,,,,,,"FALSE",,,,,,"451",,"Women's Prison Association and Home",,"NY",,"11411"
,"1900 2nd Ave","Center for Comprehensive Health Practice",,"MANHATTAN",,"9th Floor","New York","FALSE",,,,,,,,,,"FALSE",,,,"(212) 360-7893",,"827",,"Center for Comprehensive Health Practice",,"NY","http://cchphealthcare.org/","10029"
,"7 Hanover Square, 18th Floor New York, NY 10004","New York Legal Assistance Group (NYLAG)",,"MANHATTAN",,"13th Floor","NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"212-613-5000",,"494",,"New York Legal Assistance Group (NYLAG)",,"NY",,"10004"
,"2348 Adam Clayton Powell Jr. Boulevard","Iris House","13 and up","MANHATTAN",,,"NEW YORK","TRUE",,"10-5PM","10-5PM",,,"10-5PM","10-5PM","10-5PM","Walk-ins welcome","FALSE",,,,"646-548-0100","ID will be needed","110","Spanish, Creole, French and Russian","Iris House Main Administration Office",,"NY","http://www.irishouse.org/","10030"
,"213 Johnson Avenue","La Nueva Esparanza",,"BROOKLYN","Does not provide testing services directly. Provides testing resources and hosts testing services when providers are available.",,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"(718) 497-7592",,"120",,"La Nueva Esperanza",,"NY",,"11206"
,"1990 Westchester Avenue","The Institute for Family Health","13 and over. Parental consent not required.","BRONX",,,"BRONX","FALSE",,"8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","CLOSED","CLOSED","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","Walk-ins welcome","FALSE",,,,"(718) 239-1610","Personal ID is not required but may allow quicker access to services.","103",,"IFH Westchester Avenue Center","Yes","NY",,"10462"
,"305 East 161st Street","Montefiore Medical Center","0-21 years. Parental consent not required for ages 13 and over.","BRONX",,,"BRONX","FALSE",,"8:30 AM - 6:00 PM","8:30 AM - 6:30 PM","9:00 AM - 1:00 PM","CLOSED","8:30 AM - 6:30 PM","8:30 AM - 6:30 PM","8:30 AM - 6:30 PM","Walk-ins welcome","FALSE",,,,"(718) 579-2500","Personal ID is not required but may allow quicker access to services.","148",,"Montefiore Comprehensive Health Care Center - East 161 st.",,"NY",,"10451"
,"100 Pennsylvania Ave","Partnership for the Homeless",,"BROOKLYN",,"3rd floor",,"FALSE",,,,,,,,,,"FALSE",,,,,,"805",,"Partnership for the Homeless The Family Resource Center",,"NY",,"11207"
,"94-98 Manhattan Avenue","Community Healthcare Network","13 and over.","BROOKLYN",,,"BROOKLYN","TRUE",,"9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 4:00PM","CLOSED","9:00AM - 5:00PM","12:30 PM - 6:00 PM","10:00AM - 6:00PM","Appointment preferred","TRUE",,,,"(718) 388-0390","Photo ID, proof of address, proof of income, list of medicines, past health records","61","English, Spanish, For more than 150 other languages we use our Language Line, a live telephone translation service.","Community Healthcare Network - CABS Health Center","Yes","NY","http://www.chnnyc.org/our-locations/cabs-health-center","11206"
,"25 Victory Boulevard","Community Health Action of Staten Island (CHASI)","13+","STATEN ISLAND","Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.","3rd Floor","STATEN ISLAND","TRUE","All","1:00 PM- 8:00 PM","1:00 PM- 8:00 PM","CLOSED","CLOSED","1:00 PM- 8:00 PM","1:00 PM- 8:00 PM","1:00 PM- 8:00 PM","Walk-ins welcome","FALSE",,,,"718-808-1360","None","535",,"Staten Island LGBT Center",,"NY","http://chasiny.org","10301"
,"21 Old Broadway","NYC DOHMH STD Control","13 and over.","MANHATTAN","C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.","2nd Floor","NEW YORK","TRUE",,"8:30 AM - 3:30 PM","8:30 AM - 3:30 PM","CLOSED","CLOSED","8:30 AM - 3:30 PM","8:30 AM - 3:30 PM","8:30 AM - 3:30 PM","Walk-ins welcome","TRUE",,,,"N/A",,"135","English","Manhattanville Renaissance STD Clinic",,"NY",,"10027"
,"269-01 76th Avenue, New Hyde Park","North Shore LIJ",,"Queens",,,,"FALSE",,,,,,,,,,"TRUE",,,,"718-470-3000",,"586",,"Steven & Alexandra Cohen Children's Medical Center of NY",,"NY","http://ccmc.northshorelij.com/","11040"
,"130 West Kingsbridge Road","James J. Peters VA Medical Center","18 and over.","BRONX",,,"BRONX","FALSE",,"8:00 AM - 2:30 PM","8:00 AM - 2:30 PM","CLOSED","CLOSED","8:00 AM - 2:30 PM","8:00 AM - 2:30 PM","8:00 AM - 2:30 PM","Walk-ins welcome","FALSE",,,,"(718) 584-9000","Personal ID is not required but may allow quicker access to services.","115",,"James J. Peters VA Medical Center","Yes","NY",,"10468"
,"1650 Selwyn Avenue","Bronx - Lebanon Hospital Center","18 and over.","BRONX",,,"BRONX","FALSE",,"9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","CLOSED","CLOSED","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM",,"FALSE",,,,"(718) 960-1069",,"28",,"Bronx - Lebanon Hospital Care Coordination",,"NY","http://www.bronxcare.org/","10457"
,"441 Convent Avenue","African Hope Committee",,"MANHATTAN",,,"NEW YORK","FALSE",,"9:30AM - 5:30PM","9:30AM - 5:30PM","CLOSED","CLOSED","9:30AM - 5:30PM","9:30AM - 5:30PM","9:30AM - 5:30PM",,"FALSE",,,,"(212) 862-9010",,"546",,"African Hope Committee",,"NY","http://www.afriquehope.org/","10031"
,"1238 Broadway","Bedford Stuyvesant Family Health Center","12 and over.","BROOKLYN","Community Health Center offering HIV testing and other medical services. Information subject to change. Saturday hours may be available. Please call ahead.",,"BROOKLYN","TRUE","All","9:00 AM- 3:00 PM","9:00 AM- 7:00 PM",,,"9:00 AM- 3:00 PM","9:00 AM- 7:00 PM","9:00 AM- 5:00 PM","Walk-ins welcome","TRUE","Yes","Yes","Most insurances accepted, copay may be applied","718-443-2428","Photo ID preferred-- not necessary.","663","English, Spanish, French, Creole, American Sign Language","Broadway Family Health Center (Bed Stuy Family Health Center)","Yes","NY","http://www.bsfhc.org/","11221"
,"1650 Selwyn Avenue","Bronx - Lebanon Hospital Center","13 and over. Parental consent not required.","BRONX","Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.","9th Floor","BRONX","TRUE","All","9:00 AM - 4:30 PM","9:00 AM - 4:30 PM","CLOSED","CLOSED","9:00 AM - 4:30 PM","9:00 AM - 4:30 PM","9:00 AM - 4:30 PM","Walk-ins welcome","FALSE","Yes","Yes","Most insurances accepted, copay may be applied","(718) 590-1800 x2010","Official Government ID is not required but may allow quicker access to services. Some form of ID is needed.","22","English, Spanish and French","Bronx - Lebanon Center for Comprehensive Care","Yes","NY","http://www.bronxcare.org/","10457"
,"102-01 66th Road","North Shore LIJ",,"QUEENS",,,"FOREST HILLS","FALSE",,,,,,,,,,"FALSE",,,,"(718) 830-4000",,"401",,"North Shore LIJ Forest Hills",,"NY",,"11375"
,"726 Broadway","New York University",,"MANHATTAN",,"Suite 525","NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"212.998.5600",,"606",,"Center for Health, Identity, Behavior and Prevention Studies",,"NY","http://steinhardt.nyu.edu/appsych/chibps","10003"
,"145-147 Utica Avenue","Bridging Access to Care","13+ (no parental consent required)","BROOKLYN",,,"BROOKLYN","TRUE","All","9am-5pm","9am-5pm",,,"9am-8pm","9am-8pm","9am-5pm","Walk-ins welcome","FALSE",,,,"347-505-5000","None","563","English, Spanish","Bridging Access to Care - Utica Avenue/Crown Heights",,"NY","http://www.bac-ny.org/ny/index.php/about-us/office-locations/utica-avenue-crown-heights","11213"
,"975 Kelly Street","Hispanic AIDS Forum","13 and over. Parental consent not required.","BRONX","Improve access to care, services and other available resources for Latinos affected by chronic illnesses.","4th Floor","BRONX","TRUE","All","10AM-4PM","12PM  - 7PM","CLOSED","CLOSED","12PM  - 7PM","12PM  - 7PM","112PM  - 7PM","Appointment preferred","FALSE",,,,,"Personal ID is not required but may allow quicker access to services.","96","Spanish","Hispanic AIDS Forum - Bronx",,"NY",,"10459"
,"1767 Park Avenue","Hispanic AIDS Forum",,,,"5th Floor","NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,,,"460",,"Hispanic AIDS Forum - Manhattan",,,,
,"450 Clarkson Avenue","SUNY Downstate Medical Center Suny Downstate Medical Center",,"BROOKLYN",,,"BROOKLYN","FALSE",,,,,,,,,,"FALSE",,,,"718-270-1000",,"544",,"SUNY Downstate Medical Center",,"NY",,"11203"
,"172-17 Linden Boulevard","Clergy United for Community Empowerment","13+ (parental consent required if under 13)","QUEENS","Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.","2nd Floor","QUEENS","TRUE","Yes","10am-4pm","10am-4pm",,,"10am-4pm","10am-4pm","10am-4pm","Walk-ins welcome","FALSE",,,,"(718) 297-0720","None","52","English, French","Clergy United for Community Empowerment",,"NY","www.cucegroup.org","11434"
,"2238 5th Avenue","NYC DOHMH STD Control","13 and over.","MANHATTAN","C	linic offering HIV testing and other medical services. Information subject to change. Please call ahead.","1st Floor","NEW YORK","TRUE",,"8:30 AM - 3:30 PM","CLOSED","8:30 AM - 3:30 PM","CLOSED","8:30 AM - 3:30 PM","8:30 AM - 3:30 PM","8:30 AM - 3:30 PM","Walk-ins welcome","TRUE",,,,"N/A",,"47","Spanish","Central Harlem STD Clinic",,"NY",,"10037"
,"1910 Arthur Avenue","VIP Community Services","18 and over.","BRONX","Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"BRONX","TRUE","All","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","CLOSED","CLOSED","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","9:00 AM - 4:00 PM","Walk-ins welcome","FALSE","Yes","Yes","Most insurances accepted, copay may be applied","718-583-5150","Personal ID is not required but may allow quicker access to services.","232","English and Spanish. Translators for other languages upon request.","VIP Community Services",,"NY",,"10457"
,"1265 Franklin Avenue","Dr. Martin Luther King Health Center","13 and over. Parental consent not required.","BRONX",,"3rd Floor","BRONX","FALSE",,"10:00 AM - 2:00 PM","10:00 AM - 2:00 PM","CLOSED","CLOSED","10:00 AM - 2:00 PM","10:00 AM - 2:00 PM","10:00 AM - 2:00 PM","Walk-ins welcome","FALSE",,,,"(718) 503-7700","Personal ID is not required but may allow quicker access to services.","77","French, Hindi, Spanish","Dr. Martin Luther King Health Center","Yes","NY",,"10456"
,"525 East 68th Street","New York Presbyterian Hospital",,"MANHATTAN",,,"NEW YORK","FALSE",,,,,,,,,,"FALSE",,,,"(212) 746-5454",,"536",,"NYP - Center for Special Studies",,"NY",,"10065"
,"2042 Grand Ave.","Morris Heights Health Center",,"BRONX",,,"BRONX","FALSE",,"8:30AM - 5:00PM","8:30AM - 5:00PM","9:00AM - 3:00PM","CLOSED","8:30AM - 5:00PM","8:30AM - 5:00PM","8:30AM - 5:00PM",,"FALSE",,,,"(718) 483-1240",,"527",,"MHHC Health Connections at Grand Ave.",,"NY","http://www.mhhc.org/locations/health-connections/","10453"
